business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total,permanently_closed,url,lat,lng
OPERATIONAL,"Batıköy Mahallesi Hürriyet Caddesi Armağan Sokak Mimaroba Whitecorner Kat 1 Daire 15 (vakıfbank üstü, 34535, Turkey","{'location': {'lat': 41.0075836, 'lng': 28.538656}, 'viewport': {'northeast': {'lat': 41.00886937989272, 'lng': 28.54006212989272}, 'southwest': {'lat': 41.00616972010728, 'lng': 28.53736247010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Diet and Nutrition Consultant Dietitians Melis Ece,{'open_now': False},"[{'height': 723, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111392867706347460504"">Diyetisyen Melis Ece Beslenme ve Diyet Danışmanlığı</a>'], 'photo_reference': 'Aap_uEB51UhF6BRIxCkltRohB1KomDYKgARIxdyA2P69YSDMVDysQ8YcwCuRwS_MKgy1yBnv-N3hWtQoi9CeO0sHcVh1qDCrQn30OJNrqwF_4MVgyybxGApz0eqpAkRe3oD6x2iAFBJn_opjhoIpEhNM9O11b7RRKXZmpn3GAIaZAh7fJDK9', 'width': 1284}]",ChIJJUHH-YNdtRQRWFxIC4v8_rY,"{'compound_code': '2G5Q+2F Büyükçekmece, İstanbul', 'global_code': '8GHC2G5Q+2F'}",5.0,ChIJJUHH-YNdtRQRWFxIC4v8_rY,"['health', 'point_of_interest', 'establishment']",7,,https://www.google.com/maps/place/?q=place_id:ChIJJUHH-YNdtRQRWFxIC4v8_rY,41.0075836,28.538656
OPERATIONAL,"Mimaroba Mahallesi Mustafa Kemal Bulvarı Colorist İş Merkezi A Blok Kat:3 D:45, 34535 Büyükçekmece, Turkey","{'location': {'lat': 41.0086003, 'lng': 28.5356462}, 'viewport': {'northeast': {'lat': 41.00995852989272, 'lng': 28.53700177989272}, 'southwest': {'lat': 41.00725887010728, 'lng': 28.53430212010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Diyetisyen Burcu YILDIZ,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114967103582599216300"">A Google User</a>'], 'photo_reference': 'Aap_uEBq21ipPgPN6EB7PXUYCN9JG_bMLTaJejWMmLk6gEX3S6o7fDUtZkNJGu4mySSo7enry-55rhEr8xioFQ9QKSNu8VfCjHkXaFswCU4kCMQ7SjabJn6Pb6Cl2qrJtBoQ0QkQPWLGxlKoZEi0GC7GNvJCBPRPmbeDNyUHRs5fMHlgFV-J', 'width': 6000}]",ChIJayGrNYJdtRQRWbWMHxj3voc,"{'compound_code': '2G5P+C7 Büyükçekmece, İstanbul', 'global_code': '8GHC2G5P+C7'}",5.0,ChIJayGrNYJdtRQRWbWMHxj3voc,"['health', 'point_of_interest', 'establishment']",9,,https://www.google.com/maps/place/?q=place_id:ChIJayGrNYJdtRQRWbWMHxj3voc,41.0086003,28.5356462
OPERATIONAL,"EKİNOBA MAH.MUSTAFA KEMAL BULVARI HAZAL SİTESİ NO:7/3 D BLOK KAT:1, D:10, 34500 Büyükçekmece/İstanbul, Turkey","{'location': {'lat': 41.0084309, 'lng': 28.5367298}, 'viewport': {'northeast': {'lat': 41.00975922989272, 'lng': 28.53804037989272}, 'southwest': {'lat': 41.00705957010727, 'lng': 28.53534072010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,DİYETİSYEN Semra EMİNFERZANE,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106663081578489890372"">A Google User</a>'], 'photo_reference': 'Aap_uEA3S67K50zm5GzIILr_FWzFL_MkDfNScBV0Y0U-2nlVAxjJbVTBTu-L131CWVhQN8FNKAnc9NefmiOKPanMuqT4vH3l3fNWf6Kax8SN-0eNgGcrTuWD70-CKOkS4nbqwW8SaNCEy9K4EmAWZKg8qAu_ut5gzHYwnfG7F9mnmIYpJQLe', 'width': 1908}]",ChIJaVgb2Nm7yhQR5pnj5bQksVo,"{'compound_code': '2G5P+9M Büyükçekmece, İstanbul', 'global_code': '8GHC2G5P+9M'}",5.0,ChIJaVgb2Nm7yhQR5pnj5bQksVo,"['health', 'point_of_interest', 'establishment']",12,,https://www.google.com/maps/place/?q=place_id:ChIJaVgb2Nm7yhQR5pnj5bQksVo,41.0084309,28.5367298
OPERATIONAL,"Mimaroba Mah, Çarmıklı Cd. No:402 D:G Blok, 34545 Büyükçekmece/İstanbul, Turkey","{'location': {'lat': 41.0037668, 'lng': 28.5335849}, 'viewport': {'northeast': {'lat': 41.00522372989273, 'lng': 28.53473177989272}, 'southwest': {'lat': 41.00252407010728, 'lng': 28.53203212010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Diyetisyen Ezgi Muşlu,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104115339835898664620"">A Google User</a>'], 'photo_reference': 'Aap_uEANFcYBn3IXZPUyZ5Jet7QS7zKOXJ5_5M1pfsJli0uxLUga91Cy85sHc-GA03gseKIlRVyF1vbqE11rUJ6-GpF7C8CGZBruY3Z8TCpyRpbppDuSyekB2I5RK5pls_MLkUYFgOf4GKSwwlO8_gWSGKqWx-CmVeg7cEQdYG9vQ4isNcQj', 'width': 4000}]",ChIJf_u5NrNntRQR826LJRVh-Rw,"{'compound_code': '2G3M+GC Büyükçekmece, İstanbul', 'global_code': '8GHC2G3M+GC'}",0.0,ChIJf_u5NrNntRQR826LJRVh-Rw,"['health', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJf_u5NrNntRQR826LJRVh-Rw,41.0037668,28.5335849
OPERATIONAL,"Ekinoba Mahallesi Mustafa Kemal Bulvarı No:7/2 C Blok Kat:4 Daire:34, 34500 İstanbul, Turkey","{'location': {'lat': 41.0091515, 'lng': 28.5370789}, 'viewport': {'northeast': {'lat': 41.01026377989273, 'lng': 28.53818072989272}, 'southwest': {'lat': 41.00756412010728, 'lng': 28.53548107010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,"Dyt. Nazlıcan Yılmaz, Diyetisyen",,"[{'height': 530, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117363814605077948530"">A Google User</a>'], 'photo_reference': 'Aap_uEATBBraG-AwzZX-WYSFJnvk1sEB1ebD05W0f3Icz5HwqK8hLkA1qqNNfEJHViLw3YPu4pG7TZaCbtUL-jlfopg7J0D50IpYx8U6s3w9AVGvQSeIr-EcdYEWGmzcSEdkfj4dUKCcZjsxOn-qKGZJxZzW-Eu1D34zYnQSoQjpNxhzoJjC', 'width': 530}]",ChIJSzNKC-JdtRQRTqKpugwjUjc,"{'compound_code': '2G5P+MR Büyükçekmece, İstanbul', 'global_code': '8GHC2G5P+MR'}",0.0,ChIJSzNKC-JdtRQRTqKpugwjUjc,"['health', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJSzNKC-JdtRQRTqKpugwjUjc,41.0091515,28.5370789
OPERATIONAL,"Murat Çeşme, Oluşum Sokak No:6/1-12, 34535 Büyükçekmece/İstanbul, Turkey","{'location': {'lat': 41.0121683, 'lng': 28.535217}, 'viewport': {'northeast': {'lat': 41.01336832989272, 'lng': 28.53662557989272}, 'southwest': {'lat': 41.01066867010728, 'lng': 28.53392592010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Diyetisyen Özge Uysal Beslenme ve Diyet Danışmanlık Merkezi,{'open_now': False},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108572786293745505915"">A Google User</a>'], 'photo_reference': 'Aap_uEA_yO1lSIIHsRU2Oz2HizMf04CFkBbXxO8FWzEenNeZaTJ5Xx2gOyQX9QAJ6oLhJtGFANU8LgZH7T4cS_W600eoV-I2u11eOMs7JzksHlu8AbGXrA2CChYQzRhLazZ_T0mYSFg4T-PzI8aKJgDmJQMjjnQgfadF0DNJmLLUNaL5Axuu', 'width': 2448}]",ChIJU9B2-j5XtRQR_m_1QAd97sw,"{'compound_code': '2G6P+V3 Büyükçekmece, İstanbul', 'global_code': '8GHC2G6P+V3'}",0.0,ChIJU9B2-j5XtRQR_m_1QAd97sw,"['health', 'point_of_interest', 'establishment']",0,,https://www.google.com/maps/place/?q=place_id:ChIJU9B2-j5XtRQR_m_1QAd97sw,41.0121683,28.535217
OPERATIONAL,"Ekinoba, Ekinoba Mahallesi Mustafa Kemal Bulvarı Hazal Sitesi 7/2 C Blok Kat:1 Daire:11, 34400, Turkey","{'location': {'lat': 41.0090821, 'lng': 28.5369424}, 'viewport': {'northeast': {'lat': 41.01022907989272, 'lng': 28.53811247989272}, 'southwest': {'lat': 41.00752942010728, 'lng': 28.53541282010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Diyetisyen Ecenur Bozacı,{'open_now': False},"[{'height': 4073, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102719050499847923568"">A Google User</a>'], 'photo_reference': 'Aap_uEA-uEd_IAgbCn3m_zcS5ELn7pExsoxVzf-sp6zt6LNTFFLGevqjo83rpcJGMYRcYwxqkf2JkPp6VAXA_LW1qAGqNpoCzWNESjDubLJnTijsN6ipV5ffsKhwyBpd97x1dX5EphtmlRoDiZi_KF0S2Vx4S9KxFbV-poc5mGvoaNdv1xmX', 'width': 3024}]",ChIJuwBWsoxdtRQR7OKYDumhiO0,"{'compound_code': '2G5P+JQ Büyükçekmece, İstanbul', 'global_code': '8GHC2G5P+JQ'}",5.0,ChIJuwBWsoxdtRQR7OKYDumhiO0,"['health', 'point_of_interest', 'establishment']",45,,https://www.google.com/maps/place/?q=place_id:ChIJuwBWsoxdtRQR7OKYDumhiO0,41.0090821,28.5369424
OPERATIONAL,"Dızdarıye, Kemal Atatürk Cd. No:19, 34900 Büyükçekmece/İstanbul, Turkey","{'location': {'lat': 41.0214234, 'lng': 28.5793662}, 'viewport': {'northeast': {'lat': 41.02276407989272, 'lng': 28.58073082989272}, 'southwest': {'lat': 41.02006442010727, 'lng': 28.57803117010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Diyetisyen Duygu PINARCI,{'open_now': False},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109364170119814675808"">A Google User</a>'], 'photo_reference': 'Aap_uEDB8syIkKlCo6yRPp2-NzcTjKkyhNkEWIFcYqlr2duSG1MxWMf2-6NILwyDn9dG5M4tf_tZ5VtPSWoBDAwjFHx-M2C0ArXUVNYS5pVzlB5KOv4_JbME1OL1S7x_lk2NH7At1XvjRtzHwGsngZujhaAGIFUl8X2lBJI_Dik0k338HkAq', 'width': 1143}]",ChIJewMhhDpdtRQRJbxW0sgYwEU,"{'compound_code': '2HCH+HP Büyükçekmece, İstanbul', 'global_code': '8GHC2HCH+HP'}",5.0,ChIJewMhhDpdtRQRJbxW0sgYwEU,"['health', 'point_of_interest', 'establishment']",34,,https://www.google.com/maps/place/?q=place_id:ChIJewMhhDpdtRQRJbxW0sgYwEU,41.0214234,28.5793662
OPERATIONAL,"Barbaros Hayrettin Paşa Mh. 1994. Sk. No:14/129 Çebi Natura Plaza E-5 Üzeri, Cumhuriyet Mahallesi Metrobüs Durağı Yanı, 34522 Esenyurt/İstanbul, Turkey","{'location': {'lat': 41.0162074, 'lng': 28.6407526}, 'viewport': {'northeast': {'lat': 41.01747032989272, 'lng': 28.64204777989272}, 'southwest': {'lat': 41.01477067010728, 'lng': 28.63934812010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Diyetisyen Serap ÖZÇAM,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106455755763144124814"">A Google User</a>'], 'photo_reference': 'Aap_uEB114h7ShK2FkOiC2nfqYQA_M1jfXOG_cKw9XQx5pL7_y0By7PRu93gyHMPonxsjIxrvgFuH-NtTt6dyPQxyvAME8OlTDL-7iFuaAghKyrvYqUTN7oSGmGauSj46qM0c3oxibyeYH5nII4Yi1abJfv4XGt1nCoXw_2aThUE94E-mlFs', 'width': 4500}]",ChIJo74ZkUNftRQRp4ihstfxTqM,"{'compound_code': '2J8R+F8 Esenyurt, İstanbul', 'global_code': '8GHC2J8R+F8'}",4.6,ChIJo74ZkUNftRQRp4ihstfxTqM,"['health', 'point_of_interest', 'establishment']",7,,https://www.google.com/maps/place/?q=place_id:ChIJo74ZkUNftRQRp4ihstfxTqM,41.0162074,28.6407526
OPERATIONAL,"Büyükşehir Mah. Cumhuriyet Cad. Ekinoks Residence E1 Girişi, D:81 Kat 6, Beylikdüzü/İstanbul, Turkey","{'location': {'lat': 41.0129184, 'lng': 28.6439181}, 'viewport': {'northeast': {'lat': 41.01421397989272, 'lng': 28.64523042989272}, 'southwest': {'lat': 41.01151432010727, 'lng': 28.64253077010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Akdeniz Diyet Beslenme Danışmanlığı Merkezi Uzm. Dyt. Mehmet Mahmut ÜNAL,{'open_now': False},"[{'height': 736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117862214921739165788"">A Google User</a>'], 'photo_reference': 'Aap_uEAdicKn9Hh0kbvPWcXW4M2lQc3DKC88GIDugO-cLqTvM1GU69H13RQRa8fyT2bqnZRhITsvQlHKKOAncijUcZrB8mi-Qw-B4Z6E8VcE9ATddwRT_eGTkNg2TtkGYG0j0HFGD0ue9RQBPQf64iL3BBjDDMf4y3T1sQ_Cfb8-rJZgk-Dz', 'width': 750}]",ChIJxwRkhwlftRQR_PiAP16Zqrk,"{'compound_code': '2J7V+5H Beylikdüzü, İstanbul', 'global_code': '8GHC2J7V+5H'}",5.0,ChIJxwRkhwlftRQR_PiAP16Zqrk,"['health', 'point_of_interest', 'establishment']",7,,https://www.google.com/maps/place/?q=place_id:ChIJxwRkhwlftRQR_PiAP16Zqrk,41.0129184,28.6439181
